,VLUE,MTUM,USMV,QUAL,LRGF
Ticker,VLUE,MTUM,USMV,QUAL,LRGF
Date,,,,,
2023-09-19,89.52037048339844,142.28634643554688,72.70045471191406,133.56268310546875,43.73976135253906
2023-09-20,88.90030670166016,140.84483337402344,72.73924255371094,132.27877807617188,43.32978439331055
2023-09-21,87.7364501953125,138.33697509765625,71.8475570678711,129.7698516845703,42.626976013183594
2023-09-22,87.38348388671875,138.6331787109375,71.80877685546875,129.9462432861328,42.57817077636719
2023-09-25,87.69829559326172,139.09722900390625,71.8960189819336,130.37747192382812,42.80072784423828
2023-09-26,86.49695587158203,137.58119201660156,71.03572082519531,128.65577697753906,42.187957763671875
2023-09-27,86.72761535644531,137.84857177734375,70.8018798828125,128.96075439453125,42.26639938354492
2023-09-28,87.26580810546875,138.96751403808594,70.9090576171875,129.88555908203125,42.589935302734375
2023-09-29,87.18892669677734,138.33377075195312,70.51932525634766,129.6592559814453,42.472286224365234
2023-10-02,86.3912353515625,138.3931884765625,70.0614242553711,129.97412109375,42.374244689941406
2023-10-03,85.43976593017578,136.20477294921875,69.62299346923828,128.34092712402344,41.7957878112793
2023-10-04,85.43976593017578,137.3138427734375,70.0614242553711,129.34445190429688,42.060508728027344
2023-10-05,85.36288452148438,137.0959930419922,69.92501831054688,129.4034881591797,42.01932907104492
2023-10-06,85.93952178955078,139.13583374023438,70.38294219970703,131.23341369628906,42.53111267089844
2023-10-09,86.6314926147461,139.95773315429688,70.95777893066406,132.24673461914062,42.83504867553711
2023-10-10,87.20814514160156,140.82913208007812,71.25005340576172,132.76817321777344,43.099761962890625
2023-10-11,87.52529907226562,141.30442810058594,71.37671661376953,133.71267700195312,43.27623748779297
2023-10-12,86.4873275756836,140.36370849609375,70.87008666992188,133.30931091308594,42.95269775390625
2023-10-13,86.05484771728516,139.43292236328125,71.06494140625,132.5812530517578,42.70759582519531
2023-10-16,87.05437469482422,141.07669067382812,71.71772003173828,134.0471649169922,43.17819595336914
2023-10-17,87.36192321777344,140.9281463623047,71.70796966552734,133.83071899414062,43.286048889160156
2023-10-18,86.19902801513672,139.14576721191406,71.172119140625,132.11883544921875,42.668373107910156
2023-10-19,85.41094207763672,138.22483825683594,70.41217041015625,130.7808380126953,42.285030364990234
2023-10-20,84.60362243652344,136.7296142578125,69.86656188964844,129.34445190429688,41.73696517944336
2023-10-23,83.72904968261719,137.1455078125,69.47684478759766,129.27557373046875,41.62911605834961
2023-10-24,84.46908569335938,138.49220275878906,70.00296783447266,130.22007751464844,41.86442565917969
2023-10-25,83.56566619873047,136.39292907714844,69.84708404541016,128.16384887695312,41.344791412353516
2023-10-26,83.28694915771484,134.1748504638672,69.58401489257812,126.04859924316406,40.88398742675781
2023-10-27,82.60458374023438,134.0560302734375,68.7461166381836,125.59606170654297,40.687904357910156
2023-10-30,83.18123626708984,135.51165771484375,69.40863037109375,127.17018127441406,41.11928939819336
2023-10-31,84.04620361328125,136.08595275878906,69.90553283691406,127.74079895019531,41.40361785888672
2023-11-01,84.7862319946289,138.19512939453125,70.34395599365234,129.0591278076172,41.7957878112793
2023-11-02,86.40084838867188,140.74002075195312,71.29877471923828,131.67611694335938,42.540916442871094
2023-11-03,87.88089752197266,142.34414672851562,71.82489013671875,132.8075408935547,43.021331787109375
2023-11-06,87.4195785522461,143.08680725097656,71.94180297851562,133.26995849609375,43.031131744384766
2023-11-07,87.27542114257812,143.29476928710938,71.8930892944336,133.8602294921875,43.13897705078125
2023-11-08,86.46812438964844,143.89883422851562,71.97103881835938,134.2734375,43.13897705078125
2023-11-09,85.5935287475586,143.0670166015625,71.40593719482422,133.4076690673828,42.767398834228516
2023-11-10,86.84293365478516,145.57228088378906,72.0197525024414,135.57212829589844,43.4919319152832
2023-11-13,86.50655364990234,146.00796508789062,72.03923797607422,135.3458251953125,43.45271301269531
2023-11-14,88.82275390625,148.40431213378906,72.8576431274414,137.7463836669922,44.3939323425293
2023-11-15,89.48590850830078,147.58242797851562,72.79917907714844,137.6184844970703,44.46255874633789
2023-11-16,88.87081146240234,148.1765594482422,72.79917907714844,137.53976440429688,44.4233512878418
2023-11-17,89.48590850830078,148.5132293701172,72.82842254638672,137.6184844970703,44.52138900756836
2023-11-20,89.89916229248047,150.0084686279297,73.08172607421875,138.74008178710938,44.86453628540039
2023-11-21,89.21680450439453,149.51336669921875,73.30581665039062,138.4842529296875,44.69786834716797
2023-11-22,89.63967895507812,149.75100708007812,73.81245422363281,138.88763427734375,44.87434387207031
2023-11-24,90.01449584960938,149.83021545410156,74.00730895996094,138.88763427734375,44.95277404785156
2023-11-27,89.71656036376953,149.40443420410156,73.80270385742188,138.4744415283203,44.89395523071289
2023-11-28,89.59161376953125,148.89942932128906,73.72476196289062,138.3760223388672,44.923362731933594
2023-11-29,90.33164978027344,148.77069091796875,73.64681243896484,138.30718994140625,44.94297409057617
