iShares MSCI USA Quality Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Jul 16, 2013"
Shares Outstanding,"283,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"TPL","TEXAS PACIFIC LAND CORP","Energy","Equity","287,273,768.98","0.60","287,273,768.98","215,246.00","1,334.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","277,603,596.40","0.58","277,603,596.40","1,332,071.00","208.40","United States","NASDAQ","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","259,079,209.62","0.54","259,079,209.62","890,582.00","290.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","254,355,748.88","0.53","254,355,748.88","515,057.00","493.84","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","246,210,697.11","0.52","246,210,697.11","707,563.00","347.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","243,148,860.40","0.51","243,148,860.40","544,420.00","446.62","United States","NASDAQ","USD","1.00","USD","-"
"NVR","NVR INC","Consumer Discretionary","Equity","241,481,921.58","0.51","241,481,921.58","34,149.00","7,071.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","241,154,414.34","0.51","241,154,414.34","1,539,349.00","156.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","233,450,670.18","0.49","233,450,670.18","532,239.00","438.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","230,407,315.10","0.48","230,407,315.10","2,086,078.00","110.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","225,848,433.54","0.47","225,848,433.54","815,838.00","276.83","United States","NASDAQ","USD","1.00","USD","-"
"TSCO","TRACTOR SUPPLY","Consumer Discretionary","Equity","222,951,555.84","0.47","222,951,555.84","4,466,177.00","49.92","United States","NASDAQ","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","221,766,986.24","0.47","221,766,986.24","1,548,544.00","143.21","United States","NASDAQ","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","212,632,443.60","0.45","212,632,443.60","2,624,120.00","81.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","211,242,856.11","0.44","211,242,856.11","208,353.00","1,013.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","210,958,994.40","0.44","210,958,994.40","452,760.00","465.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WSM","WILLIAMS SONOMA INC","Consumer Discretionary","Equity","210,049,778.90","0.44","210,049,778.90","1,389,310.00","151.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHM","PULTEGROUP INC","Consumer Discretionary","Equity","203,658,731.28","0.43","203,658,731.28","1,999,006.00","101.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DECK","DECKERS OUTDOOR CORP","Consumer Discretionary","Equity","192,045,883.37","0.40","192,045,883.37","1,758,823.00","109.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHW","SHERWIN WILLIAMS","Materials","Equity","189,057,225.24","0.40","189,057,225.24","570,102.00","331.62","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","187,979,237.04","0.39","187,979,237.04","1,741,516.00","107.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXE","EXPAND ENERGY CORP","Energy","Equity","186,342,460.20","0.39","186,342,460.20","1,769,634.00","105.30","United States","NASDAQ","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","182,722,263.75","0.38","182,722,263.75","2,263,375.00","80.73","United States","NASDAQ","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","181,293,119.26","0.38","181,293,119.26","1,146,409.00","158.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","177,685,464.07","0.37","177,685,464.07","1,471,759.00","120.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","174,431,393.01","0.37","174,431,393.01","1,136,583.00","153.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ULTA","ULTA BEAUTY INC","Consumer Discretionary","Equity","173,314,098.09","0.36","173,314,098.09","451,727.00","383.67","United States","NASDAQ","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","167,911,491.15","0.35","167,911,491.15","1,166,295.00","143.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSGP","COSTAR GROUP INC","Real Estate","Equity","164,195,039.46","0.34","164,195,039.46","1,982,553.00","82.82","United States","NASDAQ","USD","1.00","USD","-"
"BBY","BEST BUY INC","Consumer Discretionary","Equity","135,064,319.37","0.28","135,064,319.37","1,994,747.00","67.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","125,216,688.32","0.26","125,216,688.32","608,557.00","205.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","116,493,882.97","0.24","116,493,882.97","436,127.00","267.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","112,142,777.16","0.24","112,142,777.16","1,236,687.00","90.68","United States","NASDAQ","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","112,144,412.52","0.24","112,144,412.52","470,918.00","238.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","110,463,223.68","0.23","110,463,223.68","252,522.00","437.44","United States","NASDAQ","USD","1.00","USD","-"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","107,409,718.02","0.23","107,409,718.02","731,973.00","146.74","United States","NASDAQ","USD","1.00","USD","-"
"EQR","EQUITY RESIDENTIAL REIT","Real Estate","Equity","99,869,934.01","0.21","99,869,934.01","1,457,317.00","68.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","99,486,525.65","0.21","99,486,525.65","1,124,777.00","88.45","United States","NASDAQ","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","97,881,566.47","0.21","97,881,566.47","1,668,341.00","58.67","United States","NASDAQ","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","97,692,618.12","0.21","97,692,618.12","1,284,753.00","76.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","96,943,633.88","0.20","96,943,633.88","166,079.00","583.72","United States","NASDAQ","USD","1.00","USD","-"
"POOL","POOL CORP","Consumer Discretionary","Equity","96,064,325.50","0.20","96,064,325.50","329,450.00","291.59","United States","NASDAQ","USD","1.00","USD","-"
"MANH","MANHATTAN ASSOCIATES INC","Information Technology","Equity","84,605,657.92","0.18","84,605,657.92","484,624.00","174.58","United States","NASDAQ","USD","1.00","USD","-"
"DOCU","DOCUSIGN INC","Information Technology","Equity","81,611,822.11","0.17","81,611,822.11","985,531.00","82.81","United States","NASDAQ","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","81,484,238.20","0.17","81,484,238.20","555,827.00","146.60","United States","NASDAQ","USD","1.00","USD","-"
"CBOE","CBOE GLOBAL MARKETS INC","Financials","Equity","75,333,406.59","0.16","75,333,406.59","352,701.00","213.59","United States","Cboe BZX","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","73,817,466.60","0.16","73,817,466.60","312,945.00","235.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","69,001,137.28","0.14","69,001,137.28","168,197.00","410.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LPLA","LPL FINANCIAL HOLDINGS INC","Financials","Equity","68,522,224.46","0.14","68,522,224.46","217,849.00","314.54","United States","NASDAQ","USD","1.00","USD","-"
"TROW","T ROWE PRICE GROUP INC","Financials","Equity","68,282,932.08","0.14","68,282,932.08","772,082.00","88.44","United States","NASDAQ","USD","1.00","USD","-"
"VLTO","VERALTO CORP","Industrials","Equity","68,104,564.11","0.14","68,104,564.11","737,781.00","92.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VEEV","VEEVA SYSTEMS INC CLASS A","Health Care","Equity","67,676,767.12","0.14","67,676,767.12","297,428.00","227.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","64,565,950.24","0.14","64,565,950.24","607,508.00","106.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","62,274,670.37","0.13","62,274,670.37","62,274,670.00","1.00","United States","-","USD","1.00","USD","-"
"WTRG","ESSENTIAL UTILITIES INC","Utilities","Equity","61,269,298.12","0.13","61,269,298.12","1,527,151.00","40.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ROL","ROLLINS INC","Industrials","Equity","58,622,184.04","0.12","58,622,184.04","1,059,884.00","55.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FDS","FACTSET RESEARCH SYSTEMS INC","Financials","Equity","55,769,839.89","0.12","55,769,839.89","131,387.00","424.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HSY","HERSHEY FOODS","Consumer Staples","Equity","53,130,658.88","0.11","53,130,658.88","325,396.00","163.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PPG","PPG INDUSTRIES INC","Materials","Equity","49,395,763.17","0.10","49,395,763.17","481,581.00","102.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Industrials","Equity","49,273,386.84","0.10","49,273,386.84","453,798.00","108.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYC","PAYCOM SOFTWARE INC","Industrials","Equity","46,052,584.00","0.10","46,052,584.00","202,340.00","227.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JKHY","JACK HENRY AND ASSOCIATES INC","Financials","Equity","45,756,422.63","0.10","45,756,422.63","267,691.00","170.93","United States","NASDAQ","USD","1.00","USD","-"
"GGG","GRACO INC","Industrials","Equity","44,201,911.68","0.09","44,201,911.68","543,288.00","81.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ERIE","ERIE INDEMNITY CLASS A","Financials","Equity","37,373,315.40","0.08","37,373,315.40","103,284.00","361.85","United States","NASDAQ","USD","1.00","USD","-"
"WAT","WATERS CORP","Health Care","Equity","36,616,463.52","0.08","36,616,463.52","108,368.00","337.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOH","MOLINA HEALTHCARE INC","Health Care","Equity","36,006,362.84","0.08","36,006,362.84","114,484.00","314.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SEIC","SEI INVESTMENTS","Financials","Equity","32,390,475.55","0.07","32,390,475.55","412,145.00","78.59","United States","NASDAQ","USD","1.00","USD","-"
"WST","WEST PHARMACEUTICAL SERVICES INC","Health Care","Equity","31,450,669.95","0.07","31,450,669.95","146,589.00","214.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OMC","OMNICOM GROUP INC","Communication","Equity","31,068,649.72","0.07","31,068,649.72","414,691.00","74.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PKG","PACKAGING CORP OF AMERICA","Materials","Equity","29,401,535.24","0.06","29,401,535.24","159,082.00","184.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVY","AVERY DENNISON CORP","Materials","Equity","28,613,602.00","0.06","28,613,602.00","167,576.00","170.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AFG","AMERICAN FINANCIAL GROUP INC","Financials","Equity","28,217,895.16","0.06","28,217,895.16","223,084.00","126.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SOLV","SOLVENTUM CORP","Health Care","Equity","27,675,005.18","0.06","27,675,005.18","418,874.00","66.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RPM","RPM INTERNATIONAL INC","Materials","Equity","26,004,724.48","0.05","26,004,724.48","248,992.00","104.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UTHR","UNITED THERAPEUTICS CORP","Health Care","Equity","25,550,820.82","0.05","25,550,820.82","87,689.00","291.38","United States","NASDAQ","USD","1.00","USD","-"
"RS","RELIANCE STEEL & ALUMINUM","Materials","Equity","25,360,500.75","0.05","25,360,500.75","89,219.00","284.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AOS","A O SMITH CORP","Industrials","Equity","24,025,243.24","0.05","24,025,243.24","369,676.00","64.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IPG","INTERPUBLIC GROUP OF COMPANIES INC","Communication","Equity","19,462,473.76","0.04","19,462,473.76","792,446.00","24.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","18,450,289.14","0.04","18,450,289.14","18,450,289.00","100.00","United States","-","USD","1.00","USD","-"
"BFB","BROWN FORMAN CORP CLASS B","Consumer Staples","Equity","9,066,369.12","0.02","9,066,369.12","266,972.00","33.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SGAFT","CASH COLLATERAL USD SGAFT","Cash and/or Derivatives","Cash Collateral and Margins","7,309,000.00","0.02","7,309,000.00","7,309,000.00","100.00","United States","-","USD","1.00","USD","Sep 01, 2016"
"ESM5","S&P500 EMINI JUN 25","Cash and/or Derivatives","Futures","0.00","0.00","83,246,250.00","300.00","5,549.75","-","Index And Options Market","USD","1.00","USD","-"
 
"The content contained herein is owned or licensed by BlackRock and/or its third-party information providers and is protected by applicable copyrights, trademarks, service marks, and/or other intellectual property rights. Such content is solely for your personal, non-commercial use. Accordingly, you may not copy, distribute, modify, post, frame or deep link this content. You may download material displayed on this Website for your personal use provided you also retain all copyright and other proprietary notices contained on the materials. Modification or use of the materials for any other purpose violates BlackRock's intellectual property rights.
Holdings subject to change. See www.iShares.com for the most recent funds holdings.
The values for “price” shown herein generally represent a price provided by a third-party pricing vendor for the portfolio holding and do not reflect the impact of systematic fair valuation (“the vendor price”). The vendor price is not necessarily the price at which the Fund values the portfolio holding for the purposes of determining its net asset value (the “valuation price”). Additionally, where applicable, foreign currency exchange rates with respect to the portfolio holdings denominated in non-U.S. currencies for the valuation price will be generally determined as of the close of business on the New York Stock Exchange, whereas for the vendor price will be generally determined as of 4 p.m. London. The values shown herein for “market value,” “weight,” and “notional value” (the “calculated values”) are based off of the vendor price and may have been different if the valuation price were to have been used to calculate such values. The vendor price is as of the most recent practicable date and may not necessarily be as of the date shown above.
Please see the “Determination of Net Asset Value” section of each Fund’s prospectus for additional information on the Fund’s valuation policies and procedures.
CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW.ISHARES.COM OR WWW.BLACKROCK.COM. READ THE PROSPECTUS CAREFULLY BEFORE INVESTING. INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL.
This information should not be relied upon as research, investment advice, or a recommendation regarding any products, strategies, or any security in particular.
This material is strictly for illustrative, educational, or informational purposes and is subject to change.
The Funds are distributed by BlackRock Investments, LLC (together with its affiliates, “BlackRock”).
The iShares Funds are not sponsored, endorsed, issued, sold or promoted by Bloomberg, BlackRock Index Services, LLC, Cboe Global Indices, LLC, Cohen & Steers, European Public Real Estate Association (“EPRA® ”), FTSE International Limited (“FTSE”), ICE Data Indices, LLC, NSE Indices Ltd, JPMorgan, JPX Group, London Stock Exchange Group (“LSEG”), MSCI Inc., Markit Indices Limited, Morningstar, Inc., Nasdaq, Inc., National Association of Real Estate Investment Trusts (“NAREIT”), Nikkei, Inc., Russell, S&P Dow Jones Indices LLC or STOXX Ltd. None of these companies make any representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services, LLC, who is an affiliate, BlackRock Investments, LLC is not affiliated with the companies listed above. Neither FTSE, LSEG, nor NAREIT makes any warranty regarding the FTSE Nareit Equity REITS Index, FTSE Nareit All Residential Capped Index or FTSE Nareit All Mortgage Capped Index. Neither FTSE, EPRA, LSEG, nor NAREIT makes any warranty regarding the FTSE EPRA Nareit Developed ex-U.S. Index, FTSE EPRA Nareit Developed Green Target Index or FTSE EPRA Nareit Global REITs Index. “FTSE®” is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
©2023 BlackRock, Inc or its affiliates. All rights reserved. iSHARES, iBONDS and BLACKROCK are trademarks of BlackRock, Inc. or its affiliates. All other trademarks are those of their respective owners."
