,VLUE,MTUM,USMV,QUAL,LRGF
Ticker,VLUE,MTUM,USMV,QUAL,LRGF
Date,,,,,
2019-09-23,160300,517900,3417800,453100,141200
2019-09-24,425500,5964800,5271800,3374200,130700
2019-09-25,348200,2054600,8810700,1542100,102900
2019-09-26,304800,1980400,4543300,971800,119200
2019-09-27,706600,1421300,3360800,438200,79400
2019-09-30,200700,1590300,3234900,726200,1619300
2019-10-01,597100,6123600,13452000,6723000,130100
2019-10-02,343100,1954200,4962700,2051000,357100
2019-10-03,572900,2659600,6757000,2195100,172100
2019-10-04,1699800,2684300,6818300,1775700,47400
2019-10-07,230100,1732600,5262900,864200,63300
2019-10-08,470800,3234400,4538800,1076300,63400
2019-10-09,150200,1084600,3420900,941200,112000
2019-10-10,349400,1484000,5692700,1109400,39800
2019-10-11,378500,1490800,7412700,893900,106900
2019-10-14,330100,1888500,2896500,480400,101600
2019-10-15,147100,669200,3284100,466300,69000
2019-10-16,109800,995100,5240200,606200,59000
2019-10-17,181700,653600,2755800,733900,83200
2019-10-18,555000,865300,3064000,405300,501500
2019-10-21,171200,1496200,4515500,679200,56600
2019-10-22,474500,986600,3608800,1363300,59800
2019-10-23,335400,998100,3125500,756600,69500
2019-10-24,384700,623700,3637400,835700,44300
2019-10-25,214600,355300,3462500,811600,38400
2019-10-28,927500,444700,3120600,710800,93300
2019-10-29,1308900,510800,9033900,678400,83000
2019-10-30,526100,740900,4032500,654800,83200
2019-10-31,216900,683500,7859700,834500,77100
2019-11-01,365800,804700,3097300,533500,40800
2019-11-04,368500,815500,5380700,740000,173500
2019-11-05,1285800,2576400,6557400,1529100,222500
2019-11-06,1122300,870600,5643200,641900,108400
2019-11-07,341100,809700,3317000,625200,56500
2019-11-08,1242500,1004200,3194500,771200,93800
2019-11-11,262000,476000,2981700,426900,110600
2019-11-12,387800,638900,3206500,636700,79600
2019-11-13,305700,527400,4140100,642700,80600
2019-11-14,361400,678800,12736200,5564300,217300
2019-11-15,344800,577700,3886600,1173300,56100
2019-11-18,165900,599900,10842500,809900,51000
2019-11-19,325300,625300,2743500,867500,78400
2019-11-20,239600,753100,3893600,1385500,207400
2019-11-21,379400,603100,2811800,564000,89600
2019-11-22,185300,561400,2632600,985100,83000
2019-11-25,351400,385000,2811100,3346700,50200
2019-11-26,646300,611600,4740600,1596200,150000
2019-11-27,279300,1116400,2674800,555600,217000
2019-11-29,112300,203100,1083400,269700,39000
2019-12-02,519100,944500,3801600,955300,101400
2019-12-03,557400,930300,2928500,616000,124700
2019-12-04,992200,605500,2751300,833400,76800
2019-12-05,409500,466700,2835200,550600,64500
2019-12-06,420300,662000,2645900,583600,75100
2019-12-09,204800,339800,2657300,541500,67200
2019-12-10,379200,318000,2639200,778600,82400
2019-12-11,464100,307900,2339300,695700,130000
2019-12-12,616400,812200,3361300,887400,114700
2019-12-13,1079200,762300,4008300,763800,91700
2019-12-16,925500,461200,2324300,690900,85000
2019-12-17,959900,698100,2699300,1117800,102700
2019-12-18,207500,275400,2919100,647200,99800
2019-12-19,258500,415200,2677000,829100,85400
2019-12-20,265300,390600,6206200,1828300,124400
2019-12-23,244600,635900,3101100,1238000,61400
2019-12-24,63300,235100,1350300,380000,47800
2019-12-26,94900,246000,1682200,428800,38800
2019-12-27,289600,245300,2402700,490900,93600
2019-12-30,225200,258800,3958800,718100,185500
2019-12-31,345300,541200,2498200,567100,58800
2020-01-02,742900,777600,4728600,1885300,111300
2020-01-03,276000,661700,3191200,826800,188400
2020-01-06,400300,637500,2627500,767600,202700
2020-01-07,341800,480100,3676600,3601600,301500
2020-01-08,319300,737400,3759200,701900,102700
2020-01-09,652400,1265800,4662600,1218200,113000
2020-01-10,179800,600500,3603200,676700,66600
2020-01-13,292600,483400,3232700,718700,144300
2020-01-14,398300,658000,4652900,1070900,93200
2020-01-15,762700,648200,4414100,1140300,106600
2020-01-16,447700,480900,4249800,911500,216400
2020-01-17,515400,641600,4102100,721700,152100
2020-01-21,605000,589500,4601800,947400,126000
2020-01-22,375900,785600,4333900,912300,125400
2020-01-23,332600,988300,3253700,865300,136800
2020-01-24,284500,673700,4984300,903100,174800
2020-01-27,319200,709500,3262000,1150300,108200
2020-01-28,243600,917100,5018000,909100,141000
2020-01-29,277800,761500,3881300,684200,136600
2020-01-30,565100,858400,6537900,925100,136500
2020-01-31,972400,894300,4701400,957400,91800
2020-02-03,509600,805100,4735300,1121600,145400
2020-02-04,353300,1169500,4511000,680100,166500
2020-02-05,513700,1673400,5457600,964900,356300
2020-02-06,672900,469000,3507500,582600,74600
2020-02-07,184400,669500,3666500,642700,193000
2020-02-10,393300,833400,3075500,1313100,251700
2020-02-11,783600,724900,3124000,627100,238300
2020-02-12,288000,1702500,4362300,3387300,259800
2020-02-13,965700,771100,3494300,2212100,177400
2020-02-14,677100,1798700,3705200,2023400,73600
