iShares MSCI USA Value Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Apr 16, 2013"
Shares Outstanding,"61,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NTAP","NETAPP INC","Information Technology","Equity","26,181,465.35","0.42","26,181,465.35","296,003.00","88.45","United States","NASDAQ","USD","1.00","USD","-"
"GEN","GEN DIGITAL INC","Information Technology","Equity","25,566,555.36","0.41","25,566,555.36","1,012,136.00","25.26","United States","NASDAQ","USD","1.00","USD","-"
"TWLO","TWILIO INC CLASS A","Information Technology","Equity","25,398,425.85","0.41","25,398,425.85","267,155.00","95.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BG","BUNGE GLOBAL SA","Consumer Staples","Equity","25,139,788.83","0.40","25,139,788.83","310,713.00","80.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SWKS","SKYWORKS SOLUTIONS INC","Information Technology","Equity","24,541,373.84","0.39","24,541,373.84","398,917.00","61.52","United States","NASDAQ","USD","1.00","USD","-"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","24,501,491.76","0.39","24,501,491.76","172,716.00","141.86","United States","NASDAQ","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","24,396,341.85","0.39","24,396,341.85","460,743.00","52.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTRA","COTERRA ENERGY INC","Energy","Equity","24,363,775.06","0.39","24,363,775.06","960,338.00","25.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WY","WEYERHAEUSER REIT","Real Estate","Equity","23,245,779.12","0.37","23,245,779.12","936,952.00","24.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNPR","JUNIPER NETWORKS INC","Information Technology","Equity","21,979,155.20","0.35","21,979,155.20","617,392.00","35.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SJM","JM SMUCKER","Consumer Staples","Equity","21,422,524.53","0.34","21,422,524.53","185,911.00","115.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EXE","EXPAND ENERGY CORP","Energy","Equity","21,051,786.60","0.34","21,051,786.60","199,922.00","105.30","United States","NASDAQ","USD","1.00","USD","-"
"CAG","CONAGRA BRANDS INC","Consumer Staples","Equity","20,754,553.65","0.33","20,754,553.65","848,857.00","24.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APTV","APTIV PLC","Consumer Discretionary","Equity","20,543,480.51","0.33","20,543,480.51","367,307.00","55.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VTRS","VIATRIS INC","Health Care","Equity","20,446,120.74","0.33","20,446,120.74","2,514,898.00","8.13","United States","NASDAQ","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","19,378,633.74","0.31","19,378,633.74","122,541.00","158.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBY","BEST BUY INC","Consumer Discretionary","Equity","19,337,502.03","0.31","19,337,502.03","285,593.00","67.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RPRX","ROYALTY PHARMA PLC CLASS A","Health Care","Equity","19,181,958.60","0.31","19,181,958.60","595,713.00","32.20","United States","NASDAQ","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","18,838,806.94","0.30","18,838,806.94","147,941.00","127.34","United States","NASDAQ","USD","1.00","USD","-"
"LKQ","LKQ CORP","Consumer Discretionary","Equity","18,681,768.39","0.30","18,681,768.39","499,379.00","37.41","United States","NASDAQ","USD","1.00","USD","-"
"OVV","OVINTIV INC","Energy","Equity","18,413,132.99","0.30","18,413,132.99","531,097.00","34.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","18,263,137.20","0.29","18,263,137.20","99,240.00","184.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAA","MID AMERICA APARTMENT COMMUNITIES","Real Estate","Equity","17,591,408.12","0.28","17,591,408.12","110,374.00","159.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OC","OWENS CORNING","Industrials","Equity","17,570,267.84","0.28","17,570,267.84","121,948.00","144.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HST","HOST HOTELS & RESORTS REIT INC","Real Estate","Equity","17,327,958.56","0.28","17,327,958.56","1,248,412.00","13.88","United States","NASDAQ","USD","1.00","USD","-"
"FOXA","FOX CORP CLASS A","Communication","Equity","16,535,605.80","0.27","16,535,605.80","335,068.00","49.35","United States","NASDAQ","USD","1.00","USD","-"
"PPL","PPL CORP","Utilities","Equity","16,378,151.55","0.26","16,378,151.55","455,835.00","35.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SSNC","SS AND C TECHNOLOGIES HOLDINGS INC","Industrials","Equity","16,030,834.53","0.26","16,030,834.53","220,537.00","72.69","United States","NASDAQ","USD","1.00","USD","-"
"EVRG","EVERGY INC","Utilities","Equity","15,453,764.44","0.25","15,453,764.44","227,663.00","67.88","United States","NASDAQ","USD","1.00","USD","-"
"LH","LABCORP HOLDINGS INC","Health Care","Equity","15,443,345.02","0.25","15,443,345.02","67,642.00","228.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","15,160,604.76","0.24","15,160,604.76","173,502.00","87.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
