iShares U.S. Equity Factor ETF
Fund Holdings as of,"Apr 25, 2025"
Inception Date,"Apr 28, 2015"
Shares Outstanding,"39,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","8,276,191.14","0.37","8,276,191.14","52,829.00","156.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","8,101,391.10","0.36","8,101,391.10","30,246.00","267.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WIX","WIX.COM LTD","Information Technology","Equity","8,046,466.51","0.36","8,046,466.51","48,346.00","166.44","Israel","NASDAQ","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","8,039,965.30","0.36","8,039,965.30","55,690.00","144.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BAC","BANK OF AMERICA CORP","Financials","Equity","8,022,698.46","0.35","8,022,698.46","202,134.00","39.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUOL","DUOLINGO INC CLASS A","Consumer Discretionary","Equity","7,875,625.58","0.35","7,875,625.58","20,626.00","381.83","United States","NASDAQ","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","7,839,906.44","0.35","7,839,906.44","16,826.00","465.94","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","7,786,202.88","0.34","7,786,202.88","45,996.00","169.28","United States","NASDAQ","USD","1.00","USD","-"
"BLDR","BUILDERS FIRSTSOURCE INC","Industrials","Equity","7,738,732.20","0.34","7,738,732.20","63,772.00","121.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMCSA","COMCAST CORP CLASS A","Communication","Equity","7,696,723.80","0.34","7,696,723.80","227,042.00","33.90","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","7,635,763.32","0.34","7,635,763.32","21,354.00","357.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","7,588,638.41","0.34","7,588,638.41","66,643.00","113.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","7,562,529.30","0.33","7,562,529.30","51,341.00","147.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","7,491,315.10","0.33","7,491,315.10","52,310.00","143.21","United States","NASDAQ","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","7,378,866.88","0.33","7,378,866.88","13,783.00","535.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","7,350,268.00","0.33","7,350,268.00","35,270.00","208.40","United States","NASDAQ","USD","1.00","USD","-"
"HRB","H&R BLOCK INC","Consumer Discretionary","Equity","7,298,117.23","0.32","7,298,117.23","122,267.00","59.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","7,264,513.96","0.32","7,264,513.96","28,031.00","259.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BRX","BRIXMOR PROPERTY GROUP REIT INC","Real Estate","Equity","7,052,892.40","0.31","7,052,892.40","273,580.00","25.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DOCU","DOCUSIGN INC","Information Technology","Equity","7,009,700.88","0.31","7,009,700.88","84,648.00","82.81","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","6,998,998.08","0.31","6,998,998.08","83,163.00","84.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","6,890,356.20","0.30","6,890,356.20","26,020.00","264.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","6,853,413.38","0.30","6,853,413.38","70,961.00","96.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IT","GARTNER INC","Information Technology","Equity","6,820,131.19","0.30","6,820,131.19","16,391.00","416.09","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","6,813,600.57","0.30","6,813,600.57","19,581.00","347.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AYI","ACUITY INC","Industrials","Equity","6,700,441.28","0.30","6,700,441.28","27,592.00","242.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AWK","AMERICAN WATER WORKS INC","Utilities","Equity","6,612,542.10","0.29","6,612,542.10","45,930.00","143.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQR","EQUITY RESIDENTIAL REIT","Real Estate","Equity","6,603,276.68","0.29","6,603,276.68","96,356.00","68.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INTU","INTUIT INC","Information Technology","Equity","6,561,373.56","0.29","6,561,373.56","10,513.00","624.12","United States","NASDAQ","USD","1.00","USD","-"
"CR","CRANE","Industrials","Equity","6,522,977.24","0.29","6,522,977.24","43,849.00","148.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","6,491,368.24","0.29","6,491,368.24","22,249.00","291.76","United States","NASDAQ","USD","1.00","USD","-"
"MEDP","MEDPACE HOLDINGS INC","Health Care","Equity","6,461,816.20","0.29","6,461,816.20","21,644.00","298.55","United States","NASDAQ","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","6,443,730.08","0.28","6,443,730.08","15,166.00","424.88","United States","NASDAQ","USD","1.00","USD","-"
"WY","WEYERHAEUSER REIT","Real Estate","Equity","6,439,584.36","0.28","6,439,584.36","259,556.00","24.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","6,307,029.76","0.28","6,307,029.76","15,374.00","410.24","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BBY","BEST BUY INC","Consumer Discretionary","Equity","6,254,914.38","0.28","6,254,914.38","92,378.00","67.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVLT","COMMVAULT SYSTEMS INC","Information Technology","Equity","6,082,989.03","0.27","6,082,989.03","36,753.00","165.51","United States","NASDAQ","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","6,054,836.01","0.27","6,054,836.01","63,809.00","94.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","5,959,959.18","0.26","5,959,959.18","76,498.00","77.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","5,948,175.84","0.26","5,948,175.84","1,648.00","3,609.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","5,905,587.03","0.26","5,905,587.03","26,733.00","220.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOLX","HOLOGIC INC","Health Care","Equity","5,886,651.18","0.26","5,886,651.18","101,459.00","58.02","United States","NASDAQ","USD","1.00","USD","-"
"SYF","SYNCHRONY FINANCIAL","Financials","Equity","5,796,885.12","0.26","5,796,885.12","112,736.00","51.42","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CI","CIGNA","Health Care","Equity","5,725,265.92","0.25","5,725,265.92","17,072.00","335.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","5,650,090.32","0.25","5,650,090.32","13,399.00","421.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MTG","MGIC INVESTMENT CORP","Financials","Equity","5,631,295.32","0.25","5,631,295.32","232,506.00","24.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","5,575,823.22","0.25","5,575,823.22","30,514.00","182.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","5,566,912.65","0.25","5,566,912.65","46,449.00","119.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","5,536,632.15","0.24","5,536,632.15","18,067.00","306.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","5,529,204.24","0.24","5,529,204.24","80,273.00","68.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RS","RELIANCE STEEL & ALUMINUM","Materials","Equity","5,496,542.25","0.24","5,496,542.25","19,337.00","284.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PCOR","PROCORE TECHNOLOGIES INC","Information Technology","Equity","5,453,148.22","0.24","5,453,148.22","85,553.00","63.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","5,445,346.48","0.24","5,445,346.48","76,244.00","71.42","United States","NASDAQ","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","5,438,793.34","0.24","5,438,793.34","62,243.00","87.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLB","GITLAB INC CLASS A","Information Technology","Equity","5,388,077.16","0.24","5,388,077.16","114,251.00","47.16","United States","NASDAQ","USD","1.00","USD","-"
"MLI","MUELLER INDUSTRIES INC","Industrials","Equity","5,338,783.24","0.24","5,338,783.24","73,124.00","73.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","5,294,283.12","0.23","5,294,283.12","49,144.00","107.73","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","5,262,420.80","0.23","5,262,420.80","49,985.00","105.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","5,200,929.58","0.23","5,200,929.58","12,089.00","430.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BLK","BLACKROCK INC","Financials","Equity","5,136,617.71","0.23","5,136,617.71","5,659.00","907.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DVA","DAVITA INC","Health Care","Equity","5,046,768.72","0.22","5,046,768.72","36,162.00","139.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","5,037,919.20","0.22","5,037,919.20","187,632.00","26.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GIS","GENERAL MILLS INC","Consumer Staples","Equity","4,851,057.40","0.21","4,851,057.40","86,410.00","56.14","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JHG","JANUS HENDERSON GROUP PLC","Financials","Equity","4,817,080.24","0.21","4,817,080.24","146,728.00","32.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVB","AVALONBAY COMMUNITIES REIT INC","Real Estate","Equity","4,815,195.52","0.21","4,815,195.52","23,402.00","205.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","4,812,719.36","0.21","4,812,719.36","13,088.00","367.72","United States","NASDAQ","USD","1.00","USD","-"
